multi_query_id,query_id,selected_plans,total_cost
71,5,q_71_5,-3982.0
71,6,q_71_6,-3982.0
72,1,"q_72_10,q_72_11,q_72_12,q_72_13,q_72_14,q_72_17,q_72_19",-3982.0
72,2,q_72_2,-3982.0
72,3,q_72_3,-3982.0
72,4,q_72_4,-3982.0
72,6,q_72_6,-3982.0
72,7,q_72_7,-3982.0
73,0,q_73_0,-3982.0
73,1,"q_73_1,q_73_10,q_73_11,q_73_12,q_73_14,q_73_16,q_73_17,q_73_18,q_73_19",-3982.0
73,2,"q_73_2,q_73_20,q_73_21",-3982.0
73,3,q_73_3,-3982.0
73,5,q_73_5,-3982.0
73,6,q_73_6,-3982.0
73,7,q_73_7,-3982.0
74,1,"q_74_10,q_74_11,q_74_13,q_74_15,q_74_17,q_74_19",-3982.0
74,2,"q_74_2,q_74_20",-3982.0
74,3,q_74_3,-3982.0
74,5,q_74_5,-3982.0
74,6,q_74_6,-3982.0
74,7,q_74_7,-3982.0
75,0,q_75_0,-3982.0
75,1,"q_75_10,q_75_11,q_75_13,q_75_14,q_75_15,q_75_16",-3982.0
75,3,q_75_3,-3982.0
75,4,q_75_4,-3982.0
75,5,q_75_5,-3982.0
76,0,q_76_0,-3982.0
76,1,"q_76_1,q_76_10,q_76_11,q_76_12,q_76_13,q_76_15,q_76_16,q_76_18",-3982.0
76,2,q_76_2,-3982.0
76,3,q_76_3,-3982.0
76,4,q_76_4,-3982.0
76,7,q_76_7,-3982.0
77,1,"q_77_1,q_77_10,q_77_14,q_77_15,q_77_16,q_77_17,q_77_18",-3982.0
77,2,q_77_21,-3982.0
77,4,q_77_4,-3982.0
77,5,q_77_5,-3982.0
77,6,q_77_6,-3982.0
77,7,q_77_7,-3982.0
78,0,q_78_0,-3982.0
78,1,"q_78_1,q_78_10,q_78_12,q_78_13,q_78_14,q_78_15,q_78_16,q_78_17,q_78_18",-3982.0
78,3,q_78_3,-3982.0
78,5,q_78_5,-3982.0
78,6,q_78_6,-3982.0
79,1,"q_79_1,q_79_11,q_79_12,q_79_13,q_79_16,q_79_18",-3982.0
79,3,q_79_3,-3982.0
79,5,q_79_5,-3982.0
79,6,q_79_6,-3982.0
79,7,q_79_7,-3982.0
80,0,q_80_0,-3982.0
